Region,Disease,Temperature,Humidity,Precipitation,Mobility,Socioeconomic_Status,Outbreak,Health_Advisory,Latitude,Longitude,Date
Region_2,Flu,23.74508386,86.72198236,42.86555239,0.591751007,5,0,Wash hands frequently,-58.26607224,-48.08158223,02-01-2020 22:00
Region_4,Dengue,25.62071333,81.88283777,137.4752781,0.35727893,5,1,Vaccination drive ongoing,35.86042342,159.3673886,02-01-2020 23:00
Region_7,Dengue,18.20462776,34.02405909,119.2753235,0.758720868,5,0,Use mosquito nets,16.11383153,147.1139493,03-01-2020 00:00
Region_8,Flu,18.073047,69.01842944,73.22459584,0.060597696,8,1,Avoid crowded places,-8.002157221,-138.5810259,03-01-2020 01:00
Region_3,Dengue,30.48920562,37.20544239,87.56516233,0.917961981,1,1,Avoid crowded places,-42.59614889,-175.5018988,03-01-2020 02:00
Region_1,Flu,31.88830922,30.33978003,113.5841007,0.171612548,3,0,Avoid crowded places,73.30161744,90.36270809,03-01-2020 03:00
Region_4,Dengue,34.43331285,33.10700664,98.65843522,0.158547087,8,0,Vaccination drive ongoing,-51.52617086,-69.66817537,03-01-2020 04:00
Region_2,Flu,28.91705132,84.96895179,128.3656132,0.840642945,9,0,Use mosquito nets,-38.95088079,120.4837127,03-01-2020 05:00
Region_8,Dengue,31.14398231,84.50781086,36.19591552,0.869282923,2,1,Avoid crowded places,-80.1147336,-102.4454021,03-01-2020 06:00
Region_4,COVID-19,15.33793179,43.54946327,108.141991,0.092973313,4,0,Stay indoors,-40.4414453,-2.804903767,03-01-2020 07:00
Region_2,COVID-19,19.05426818,62.82367289,90.05589657,0.908718928,8,0,Wash hands frequently,76.12158181,-168.1394261,03-01-2020 08:00
Region_6,COVID-19,39.62286915,87.30169574,92.2040988,0.273297867,5,0,Stay indoors,-56.23127581,142.097338,03-01-2020 09:00
Region_6,Dengue,16.89983766,59.80236778,93.87641012,0.618621685,1,0,Stay indoors,-53.28668257,-115.9286416,03-01-2020 10:00
Region_10,Dengue,31.96970556,53.61466921,176.2943928,0.06859349,6,0,Avoid crowded places,17.99593136,-73.90690818,03-01-2020 11:00
Region_4,COVID-19,19.40206583,58.99492164,163.7254882,0.380661101,9,0,Stay indoors,12.05162829,-7.307857231,03-01-2020 12:00
Region_6,COVID-19,32.91796464,77.41294569,125.9139922,0.450724609,9,0,Stay indoors,-58.32746035,-82.34321673,03-01-2020 13:00
Region_2,Flu,32.64976007,58.63665795,143.2973871,0.599826569,1,1,Use mosquito nets,-62.23232359,-165.5411594,03-01-2020 14:00
Region_10,Flu,20.85497649,76.99666088,8.560527214,0.525271971,4,1,Wash hands frequently,-68.94414659,-169.5289933,03-01-2020 15:00
Region_2,Flu,21.74085998,55.90184674,148.7983439,0.461492961,1,0,Vaccination drive ongoing,64.99538667,163.8767746,03-01-2020 16:00
Region_10,COVID-19,31.36926784,45.12034027,97.23293769,0.959640212,7,1,Avoid crowded places,27.79833978,-62.82132327,03-01-2020 17:00
Region_4,COVID-19,24.75215097,49.58836379,63.54951291,0.185022777,3,1,Avoid crowded places,81.62022093,-59.61902614,03-01-2020 18:00
Region_8,COVID-19,19.86369924,34.66940788,27.95539319,0.157994231,2,0,Stay indoors,-60.14996649,152.2439892,03-01-2020 19:00
Region_7,Flu,33.29198997,59.84286866,15.04175807,0.713419061,8,0,Vaccination drive ongoing,-7.091347341,121.0153247,03-01-2020 20:00
Region_9,Dengue,18.85368811,38.88665549,8.977137099,0.074551885,9,1,Vaccination drive ongoing,43.74835104,67.29897792,03-01-2020 21:00
Region_8,COVID-19,36.3910916,78.69282038,32.35923498,0.482891456,7,0,Vaccination drive ongoing,-51.56130218,57.06207264,03-01-2020 22:00
Region_5,Dengue,27.8667381,55.23543445,6.02875896,0.484053119,6,1,Avoid crowded places,33.24181379,108.390865,03-01-2020 23:00
Region_2,Dengue,17.6425151,75.90013944,146.5284485,0.310025331,6,0,Avoid crowded places,-4.715395783,-119.204838,04-01-2020 00:00
Region_5,Dengue,32.35180834,87.26762565,49.7228238,0.930443742,9,0,Use mosquito nets,-12.4508157,59.13894868,04-01-2020 01:00
Region_8,Flu,27.97907599,80.96867698,73.74808539,0.282543435,5,0,Avoid crowded places,26.09957602,-144.5765068,04-01-2020 02:00
Region_10,Dengue,22.45143929,87.08782078,164.5432428,0.288441952,5,0,Avoid crowded places,-5.814998091,-134.4554162,04-01-2020 03:00
Region_9,COVID-19,25.56348451,64.07619161,22.9314993,0.234299964,2,0,Use mosquito nets,57.60233986,-92.60780372,04-01-2020 04:00
Region_9,Flu,22.45844359,39.91946604,167.118806,0.145788035,6,0,Avoid crowded places,77.49384614,75.52936226,04-01-2020 05:00
Region_1,COVID-19,21.57564589,86.12375725,127.9080701,0.364011055,6,0,Stay indoors,15.99457166,141.3162699,04-01-2020 06:00
Region_9,COVID-19,19.09021052,82.11026344,68.40590292,0.68088726,6,0,Stay indoors,-35.8929898,68.68306346,04-01-2020 07:00
Region_7,Flu,24.06917833,81.86477946,23.56144261,0.742162863,4,0,Use mosquito nets,49.89999313,-30.01571031,04-01-2020 08:00
Region_9,COVID-19,21.27468016,71.59646564,18.29853947,0.813418916,7,1,Use mosquito nets,-59.31184577,4.918038749,04-01-2020 09:00
Region_8,COVID-19,32.08586218,67.49497573,67.10286922,0.197543889,9,0,Stay indoors,-72.90165091,76.43728766,04-01-2020 10:00
Region_1,Flu,32.09691853,30.88343351,28.06839454,0.035632688,1,1,Vaccination drive ongoing,3.37167271,40.78148074,04-01-2020 11:00
Region_8,COVID-19,27.54600606,74.88324415,53.5420593,0.974685858,3,1,Avoid crowded places,26.41245007,10.60831236,04-01-2020 12:00
Region_8,Dengue,34.44861319,35.49210705,10.59116009,0.014332519,9,0,Wash hands frequently,60.2996347,-94.75470757,04-01-2020 13:00
Region_3,COVID-19,36.03349298,45.58505617,119.0016843,0.960678838,5,0,Wash hands frequently,81.93823293,42.10593249,04-01-2020 14:00
Region_1,Dengue,29.49416144,63.08941772,29.05522339,0.828814419,6,1,Use mosquito nets,67.20085545,-173.2794568,04-01-2020 15:00
Region_8,COVID-19,30.47337907,57.10395509,151.3464626,0.912074761,8,1,Wash hands frequently,87.96592324,21.61943281,04-01-2020 16:00
Region_3,Flu,22.07214774,30.94646339,43.63499526,0.387185713,9,0,Vaccination drive ongoing,-4.374000122,115.4682282,04-01-2020 17:00
Region_3,Flu,37.37173002,79.43910351,159.5953159,0.197201999,8,1,Wash hands frequently,-33.0232287,-115.2898021,04-01-2020 18:00
Region_1,COVID-19,15.60515111,82.72805749,37.97639725,0.606463685,3,0,Stay indoors,-7.252869839,-138.884248,04-01-2020 19:00
Region_5,Flu,23.71506174,70.91237661,144.2733127,0.741251171,1,0,Use mosquito nets,25.94349004,169.2846559,04-01-2020 20:00
Region_10,COVID-19,33.04501054,62.46407152,66.61493593,0.130861066,5,0,Wash hands frequently,1.306189717,123.6468013,04-01-2020 21:00
Region_7,Flu,17.00223774,87.64427033,116.623999,0.797621515,7,0,Avoid crowded places,24.14156794,-71.27958226,04-01-2020 22:00
Region_10,Dengue,19.57923819,37.19737246,7.732362864,0.20859332,2,1,Use mosquito nets,69.61007235,-104.9138061,04-01-2020 23:00
Region_9,COVID-19,29.7321432,74.27460322,99.04888687,0.491677293,1,1,Vaccination drive ongoing,-60.15386407,-59.74582928,05-01-2020 00:00
Region_7,Dengue,28.99984179,37.70163677,29.73757894,0.85648245,4,0,Stay indoors,-68.35247722,-24.75901034,05-01-2020 01:00
Region_9,Dengue,33.4732074,52.91068794,97.26404545,0.193424511,3,0,Wash hands frequently,-0.266613674,115.589847,05-01-2020 02:00
Region_8,COVID-19,35.31531598,65.12907055,28.27182618,0.241884648,4,0,Stay indoors,86.71826117,-93.88665678,05-01-2020 03:00
Region_2,Dengue,18.21448946,74.22526143,87.41782403,0.062771156,1,0,Vaccination drive ongoing,-79.37216978,79.50422281,05-01-2020 04:00
Region_1,COVID-19,15.45952474,30.22296602,22.12416405,0.146614112,2,0,Wash hands frequently,87.5803149,154.5447534,05-01-2020 05:00
Region_7,Dengue,32.24096299,45.63587318,43.99030355,0.14652582,1,0,Use mosquito nets,84.18719065,-43.37560454,05-01-2020 06:00
Region_7,COVID-19,22.53479489,62.29202348,119.0157871,0.203427502,3,0,Use mosquito nets,-37.33208745,-170.6231108,05-01-2020 07:00
Region_8,COVID-19,30.64959785,61.97242075,195.3321274,0.286200397,4,0,Avoid crowded places,70.38068334,117.941912,05-01-2020 08:00
Region_5,Flu,18.7636147,68.2575861,89.83695368,0.814983364,1,1,Vaccination drive ongoing,-88.60345494,75.0289867,05-01-2020 09:00
Region_3,COVID-19,26.72600117,48.23121485,137.4347385,0.915763864,6,1,Wash hands frequently,-8.268993714,-126.3348706,05-01-2020 10:00
Region_8,COVID-19,27.61061865,62.43175507,107.8849342,0.406280609,2,0,Stay indoors,-17.61777158,34.88600073,05-01-2020 11:00
Region_6,Dengue,29.62694541,41.38720665,99.67158686,0.128208952,5,0,Stay indoors,72.47844122,116.9339273,05-01-2020 12:00
Region_3,COVID-19,27.82925041,41.21233286,12.94083937,0.223809925,8,0,Wash hands frequently,-4.986688334,-114.8285477,05-01-2020 13:00
Region_1,Flu,27.39226926,64.59383781,28.85948046,0.736205977,4,0,Vaccination drive ongoing,-14.77102437,-99.7553256,05-01-2020 14:00
Region_3,Dengue,23.31835385,71.1283551,176.6115458,0.677425519,5,1,Vaccination drive ongoing,25.12702987,-107.3586428,05-01-2020 15:00
Region_5,Dengue,16.77950591,37.223998,82.03286301,0.967207302,9,0,Stay indoors,-22.35614606,179.1005592,05-01-2020 16:00
Region_3,Flu,17.23800492,37.36739411,122.8664953,0.014488681,2,0,Wash hands frequently,6.580722199,-97.37221744,05-01-2020 17:00
Region_1,Dengue,25.84445686,63.91816149,105.6466465,0.75075876,2,0,Wash hands frequently,82.00198353,-83.90937842,05-01-2020 18:00
Region_5,Dengue,23.8948282,46.20574514,75.77647591,0.5057936,6,1,Stay indoors,-53.52888441,-162.7467592,05-01-2020 19:00
Region_10,Dengue,27.90337012,53.54394613,77.56330852,0.902692978,6,0,Wash hands frequently,-7.395696245,173.9802427,05-01-2020 20:00
Region_7,Dengue,22.62095423,54.04490686,111.0930012,0.576166674,3,0,Wash hands frequently,-87.23207982,-91.16850063,05-01-2020 21:00
Region_7,Flu,32.19775229,40.71317156,28.2283603,0.446667724,9,1,Use mosquito nets,61.60267468,81.08393772,05-01-2020 22:00
Region_9,Flu,36.59887055,30.07887801,77.45180805,0.665850609,1,0,Use mosquito nets,-73.436875,-170.507328,05-01-2020 23:00
Region_10,Dengue,22.47157972,81.1891086,89.39511388,0.833523442,3,0,Avoid crowded places,-72.9427779,102.0250771,06-01-2020 00:00
Region_10,Dengue,19.8246002,72.90011813,197.0252447,0.28249855,8,0,Avoid crowded places,68.91108806,90.21977703,06-01-2020 01:00
Region_3,Flu,17.90451436,71.43231349,70.29095386,0.107527044,8,1,Vaccination drive ongoing,-16.32671487,-149.7049845,06-01-2020 02:00
Region_7,Flu,30.40635101,62.79030829,128.9157792,0.433018118,4,1,Use mosquito nets,33.71318051,-135.8633385,06-01-2020 03:00
Region_1,Flu,26.09639978,72.05817927,27.48309997,0.214519873,8,0,Use mosquito nets,64.41234664,-73.7606606,06-01-2020 04:00
Region_4,Dengue,19.70039293,86.14130265,13.09627637,0.429541175,8,0,Use mosquito nets,-22.59404019,-52.31954423,06-01-2020 05:00
Region_4,Dengue,31.32841833,69.94042417,174.3084028,0.991048173,1,0,Use mosquito nets,-42.92145796,102.0598984,06-01-2020 06:00
Region_5,COVID-19,18.71207958,45.90548412,146.1469805,0.574122094,3,0,Vaccination drive ongoing,-59.48676119,-157.9719675,06-01-2020 07:00
Region_7,Flu,28.85751765,64.2336031,63.49985752,0.693600223,1,0,Stay indoors,19.28149434,54.08624161,06-01-2020 08:00
Region_7,Dengue,28.17870954,56.5394642,100.9156006,0.677928422,2,0,Vaccination drive ongoing,-44.59095876,-97.72778072,06-01-2020 09:00
Region_4,Flu,33.35569503,63.38514787,27.14883689,0.820700836,4,0,Stay indoors,24.17183745,-42.31107296,06-01-2020 10:00
Region_7,Dengue,16.377741,61.05662864,141.4320588,0.944128599,3,1,Avoid crowded places,-32.91441023,-179.2065774,06-01-2020 11:00
Region_3,Flu,37.1968233,81.52651711,14.06611842,0.658818098,6,0,Use mosquito nets,-27.40017793,-75.1954882,06-01-2020 12:00
Region_6,Dengue,32.57479315,69.1080062,151.4066114,0.476094645,5,0,Stay indoors,-45.15940813,-118.3183356,06-01-2020 13:00
Region_2,COVID-19,20.40314996,41.32550868,109.3673021,0.317830946,5,0,Vaccination drive ongoing,-14.67572275,1.429977342,06-01-2020 14:00
Region_10,COVID-19,19.58513372,33.78100673,55.77010602,0.3602743,7,0,Stay indoors,-60.81661402,-123.0507589,06-01-2020 15:00
Region_9,Flu,25.79150535,55.46182732,172.5148708,0.334480608,7,0,Wash hands frequently,-32.45280705,120.8943426,06-01-2020 16:00
Region_5,Dengue,35.43913324,30.93663734,197.2143741,0.324465491,9,0,Avoid crowded places,50.01843156,137.8460449,06-01-2020 17:00
Region_6,Dengue,36.07374983,49.09784315,50.86982024,0.694625004,8,1,Avoid crowded places,-51.18859951,124.3042733,06-01-2020 18:00
Region_4,Flu,28.0114023,52.08128817,161.2492299,0.58770903,3,1,Use mosquito nets,80.48037918,173.4490159,06-01-2020 19:00
Region_10,Dengue,36.52027157,52.53533244,150.0332633,0.201995045,2,0,Use mosquito nets,-1.274079691,149.2727069,06-01-2020 20:00
Region_7,Flu,15.13609273,88.76100146,149.4380242,0.969626019,1,0,Vaccination drive ongoing,-70.75439164,-79.27635148,06-01-2020 21:00
Region_9,Dengue,15.87936579,48.23405262,191.4471223,0.427725515,6,0,Stay indoors,79.75101816,-66.79403177,06-01-2020 22:00
Region_7,Flu,37.79553984,45.91364972,97.32341846,0.566086401,4,1,Wash hands frequently,-7.797912229,11.75740665,06-01-2020 23:00
Region_1,Dengue,34.38329825,37.76285586,134.8336081,0.702600967,3,0,Avoid crowded places,10.25373464,-41.41524809,07-01-2020 00:00
Region_1,Flu,26.26765146,60.66053014,164.7754727,0.613677377,2,0,Stay indoors,-56.66494058,169.1679692,07-01-2020 01:00
Region_9,Dengue,33.84025329,39.22045837,95.90728901,0.311051769,2,1,Wash hands frequently,-30.00438218,-57.7687979,07-01-2020 02:00
Region_9,COVID-19,38.89098654,66.97768276,96.28624056,0.797706573,4,1,Stay indoors,36.65484637,86.42965732,07-01-2020 03:00
Region_4,Dengue,34.3022381,39.30958674,63.73095081,0.11015364,1,1,Use mosquito nets,-67.68550881,27.13021285,07-01-2020 04:00
Region_9,Flu,36.05928335,64.60039907,156.1651426,0.568995835,6,1,Avoid crowded places,12.68259288,164.3330531,07-01-2020 05:00
Region_3,COVID-19,34.01516453,79.57615435,137.2391559,0.273317223,5,0,Wash hands frequently,34.83409792,88.0263427,07-01-2020 06:00
Region_7,Dengue,19.20527731,32.55147801,90.2279799,0.615762368,9,1,Use mosquito nets,-89.66940475,-70.68749782,07-01-2020 07:00
Region_6,COVID-19,35.83935274,55.1848185,83.86733148,0.217993481,2,0,Vaccination drive ongoing,60.76375761,-109.0553915,07-01-2020 08:00
Region_8,Dengue,19.8777205,57.66293803,14.51792863,0.772199655,9,1,Vaccination drive ongoing,-79.86000673,127.6625707,07-01-2020 09:00
Region_9,COVID-19,37.3152832,77.46432861,1.300229366,0.227536331,9,0,Use mosquito nets,-45.55436558,147.9651979,07-01-2020 10:00
Region_5,Flu,26.46624745,58.07493792,105.7787933,0.890392135,9,0,Wash hands frequently,83.43808169,119.1939402,07-01-2020 11:00
Region_1,Dengue,31.92441881,64.05214719,83.49857047,0.861554905,4,0,Wash hands frequently,-75.41265666,85.48184481,07-01-2020 12:00
Region_3,Dengue,27.4310212,77.47225522,159.207352,0.362393452,5,0,Avoid crowded places,58.66930071,-64.17718515,07-01-2020 13:00
Region_10,Flu,17.34977324,63.58550958,108.5308113,0.385820289,8,0,Use mosquito nets,27.35969214,1.934329707,07-01-2020 14:00
Region_8,COVID-19,22.26805769,51.49796481,187.3412087,0.701503458,8,0,Vaccination drive ongoing,17.7081522,149.6530521,07-01-2020 15:00
Region_6,Flu,39.59329635,35.15053666,39.22815977,0.090373538,1,0,Use mosquito nets,14.70283941,-131.4369125,07-01-2020 16:00
Region_8,Flu,39.01786879,73.79493777,198.0300681,0.080919412,1,0,Stay indoors,-60.03745229,-1.829087051,07-01-2020 17:00
Region_9,COVID-19,23.01217244,82.26828901,59.58383886,0.136324197,6,0,Wash hands frequently,30.3879611,-52.01663219,07-01-2020 18:00
Region_4,Flu,39.90742011,88.20387222,128.4847947,0.562475335,7,0,Stay indoors,81.29371388,63.89624714,07-01-2020 19:00
Region_1,Dengue,36.13877989,85.59599285,100.3707427,0.149002305,2,0,Vaccination drive ongoing,-76.13378902,48.2651352,07-01-2020 20:00
Region_1,Dengue,30.27398749,77.84507453,71.91528025,0.277617282,2,1,Wash hands frequently,-30.16574442,21.62064489,07-01-2020 21:00
Region_10,Dengue,16.00311551,68.60831593,27.86183665,0.646911408,5,0,Vaccination drive ongoing,-4.994694897,-79.33837404,07-01-2020 22:00
Region_4,Flu,37.53617074,76.88760875,26.96683029,0.015623778,9,0,Vaccination drive ongoing,-48.18758825,-122.5619119,07-01-2020 23:00
Region_7,Dengue,28.93573198,55.92502277,142.3011655,0.180236608,5,0,Vaccination drive ongoing,43.36042335,102.3618082,08-01-2020 00:00
Region_2,Dengue,36.71190378,65.68657289,75.5282766,0.929930663,8,1,Avoid crowded places,33.95211179,177.0297484,08-01-2020 01:00
Region_3,Dengue,35.860728,50.92198855,192.2595948,0.663577623,8,0,Vaccination drive ongoing,-68.80011875,-119.1261353,08-01-2020 02:00
Region_1,Dengue,35.82515538,49.6025529,65.1296973,0.305551114,5,0,Vaccination drive ongoing,12.50323338,-152.7147754,08-01-2020 03:00
Region_5,Dengue,32.45434652,75.4015064,196.7047443,0.045303424,8,1,Stay indoors,-23.60286419,88.46310644,08-01-2020 04:00
Region_1,Dengue,22.28537847,57.23596694,41.08465132,0.586048808,8,1,Stay indoors,-48.89124569,-56.21192781,08-01-2020 05:00
Region_8,Flu,23.40400644,42.72967578,20.56287725,0.22286631,5,1,Stay indoors,62.69285702,-103.3187105,08-01-2020 06:00
Region_1,Dengue,22.71173031,42.11628972,62.5139467,0.960175439,5,0,Wash hands frequently,-80.15867899,9.045235841,08-01-2020 07:00
Region_1,Dengue,15.50114999,81.55034169,177.1169579,0.686960955,4,1,Avoid crowded places,-5.869749855,63.07723218,08-01-2020 08:00
Region_2,COVID-19,29.56422273,70.66562966,104.3703889,0.974123886,1,0,Wash hands frequently,-4.443918756,-102.6543479,08-01-2020 09:00
Region_2,Flu,32.47084176,62.7627644,27.13002119,0.848898897,9,1,Avoid crowded places,12.62203152,178.0212849,08-01-2020 10:00
Region_6,Flu,36.34664984,54.05632416,40.49980992,0.483027415,2,1,Avoid crowded places,-54.43304463,-61.83929365,08-01-2020 11:00
Region_7,Flu,18.50413583,55.84904345,62.25213243,0.669563148,1,1,Use mosquito nets,66.81619363,-66.61691174,08-01-2020 12:00
Region_5,Flu,28.60457872,33.44611165,118.0333476,0.812107196,6,0,Use mosquito nets,83.75447947,-27.71968705,08-01-2020 13:00
Region_1,Dengue,15.20020352,57.29460869,66.47578798,0.578178482,5,1,Use mosquito nets,8.811880561,88.21054451,08-01-2020 14:00
Region_1,Dengue,17.37734119,77.72729464,149.4108164,0.061487501,1,0,Avoid crowded places,-43.89743497,134.3726313,08-01-2020 15:00
Region_3,COVID-19,16.35529361,53.27918881,123.2587112,0.470446314,7,0,Avoid crowded places,67.82875811,-63.36500018,08-01-2020 16:00
Region_2,COVID-19,33.13695085,53.01487515,174.7647475,0.130573331,7,0,Wash hands frequently,87.87112186,-137.2509352,08-01-2020 17:00
Region_5,Flu,17.0264891,30.94299498,100.1923653,0.714846775,3,0,Avoid crowded places,43.53830671,-87.79290431,08-01-2020 18:00
Region_10,COVID-19,32.91132454,57.47011575,66.23528282,0.680628916,8,0,Vaccination drive ongoing,-29.93319476,-149.6593376,08-01-2020 19:00
Region_6,COVID-19,21.24061761,31.52025918,199.2543136,0.992908192,6,0,Vaccination drive ongoing,-47.51634723,46.92401705,08-01-2020 20:00
Region_7,Flu,36.94282402,64.22096568,71.12666436,0.628809802,4,0,Avoid crowded places,-61.80857407,86.65061969,08-01-2020 21:00
Region_4,Flu,35.32874971,60.40700289,85.72052796,0.800137942,3,0,Vaccination drive ongoing,-47.71097181,-25.46404496,08-01-2020 22:00
Region_7,COVID-19,38.94575544,80.40050994,161.8254451,0.268287851,1,1,Avoid crowded places,-49.07704089,163.0062173,08-01-2020 23:00
Region_8,Dengue,37.09405039,64.90683666,17.72724678,0.340024135,2,1,Use mosquito nets,84.13539616,81.90857661,09-01-2020 00:00
Region_1,COVID-19,38.33323548,49.40564132,77.29802121,0.917024252,2,0,Avoid crowded places,25.78291117,-43.32280642,09-01-2020 01:00
